id	filename	md5	size	state
334f19fb-635b-4c38-a566-a4ff167aa192	334f19fb-635b-4c38-a566-a4ff167aa192/e5214aa1-432a-4a47-886c-3ded1616255b.FPKM-UQ.txt.gz	37b812e58203162f732a5f31f077a2ed	526228	validated
33ab4680-43ce-4dab-b77f-f707f35d3d0d	33ab4680-43ce-4dab-b77f-f707f35d3d0d/6c73911d-8d0a-4a5a-9251-4ded7ea70fef.FPKM-UQ.txt.gz	319851893052537e012e95c9e4be98e2	528004	validated
359e5880-f578-4502-a123-f042a894a5b6	359e5880-f578-4502-a123-f042a894a5b6/08562fbc-4f41-408b-8bd1-0c656071d69f.FPKM-UQ.txt.gz	1219950e2d548f298827011195932ede	511665	validated
395402f4-33b7-41c9-91dd-4aa8a5a6f083	395402f4-33b7-41c9-91dd-4aa8a5a6f083/b7971446-9682-4b03-b469-797d5efb2412.FPKM-UQ.txt.gz	5f44081313f2aed80909d72e5167942c	530597	validated
3a3dd1d7-a935-4766-88ef-db76b912d730	3a3dd1d7-a935-4766-88ef-db76b912d730/7051e52f-069d-48d5-966e-064a01bf2725.FPKM-UQ.txt.gz	79e15c1e2991b5518f21576e77399c39	506195	validated
3a80ae63-a41e-4d98-b2b4-8acce380a58b	3a80ae63-a41e-4d98-b2b4-8acce380a58b/0aac5e42-7554-4949-8b90-c16528c71ef8.FPKM-UQ.txt.gz	7786d6d9a2f87800e3410df1399bda66	499347	validated
3ae3bd86-dd88-44a7-ae00-62d90ae66026	3ae3bd86-dd88-44a7-ae00-62d90ae66026/bdaa2f92-f32d-4740-bfbc-e02e32228732.FPKM-UQ.txt.gz	e4d2c00e34ae4c074e941db88b515761	508676	validated
3cbf3948-3ac4-4824-9b6f-6efcf13066b5	3cbf3948-3ac4-4824-9b6f-6efcf13066b5/e7cc80ef-4b87-47d9-bebe-1fb05b5b04a2.FPKM-UQ.txt.gz	9d250e9709c04a2005a93948fc8e11eb	556107	validated
400e6799-527e-4a4b-95a8-b322ec3249d5	400e6799-527e-4a4b-95a8-b322ec3249d5/82275c4f-5976-40e0-ac70-c74250de34ac.FPKM-UQ.txt.gz	ac5811f6631ca05b7e52d3ccff5433bc	538782	validated
41038c4b-df8d-4046-aee0-78939e51c6a7	41038c4b-df8d-4046-aee0-78939e51c6a7/2e33a2c5-2196-49c4-866a-34b12d984c15.FPKM-UQ.txt.gz	11c9152b5900e5b83056af6fb0fcd386	510747	validated
417b7a8c-eb6e-4056-9f5a-bce5c0782141	417b7a8c-eb6e-4056-9f5a-bce5c0782141/12caae52-5f67-4df5-9e83-072844acd484.FPKM-UQ.txt.gz	b084e30b4cddbf639726da0b6e73d823	532228	validated
456a5d8d-66a7-4e62-9c81-d8c1a0ed93c9	456a5d8d-66a7-4e62-9c81-d8c1a0ed93c9/6d4c0d48-9f92-48cb-be27-a3f5d5173b42.FPKM-UQ.txt.gz	38d3a3b8831fafc147d67240f3bf3522	522637	validated
45934e15-66cd-4546-b46e-2847808a4a25	45934e15-66cd-4546-b46e-2847808a4a25/c4cadcbb-ae87-43a5-811c-6bedda1d1d8d.FPKM-UQ.txt.gz	c03c6aec3798dd24fe2488ddeb0b1247	517636	validated
46026d1d-b1b0-4e9e-a156-33a61a4d3715	46026d1d-b1b0-4e9e-a156-33a61a4d3715/98b1beb5-8d4c-45d1-a618-2d43aafa056c.FPKM-UQ.txt.gz	dd80224fd7d430efa8f7a287397621e8	494006	validated
